programa,plan_url
Opp| Benchmark Licenciatura,https://docs.google.com/presentation/d/1gbZCPQuuWtHrL_hjyJ98aPQaYPGxH5ffvKC03YKoJ_Y/edit?usp=sharing
Puerto Peñasco,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Querétaro,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Saltillo,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Teocaltiche,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Tijuana,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Torreón,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Tuxpan,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Veracruz,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Zacatecas,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
